Order ID,Sale ID,Date,Order,Transaction type,Sale type,Sales channel,POS location,Billing country,Billing region,Billing city,Shipping country,Shipping region,Shipping city,Product type,Product vendor,Product,Variant,Variant SKU,Net quantity,Gross sales,Discounts,Returns,Net sales,Shipping,Taxes,Total sales
4.28656E+12,1.37185E+13,2022-01-16T00:33:51-05:00,#1944,product,order,Online Store,,Canada,Manitoba,Winnipeg,Canada,Manitoba,Winnipeg,Clothing,DOGORA,3 Season Heated Coat,M2,,1,205.99,0,0,205.99,0,10.3,216.29
4.28696E+12,1.37196E+13,2022-01-16T11:09:24-05:00,#1945,product,order,Online Store,,Canada,Quebec,Montréal,Canada,Quebec,Montréal,Clothing,DOGORA,3 Season Heated Coat,S,,1,182.99,0,0,182.99,0,9.15,192.14
4.28697E+12,1.37196E+13,2022-01-16T11:17:39-05:00,#1946,shipping,order,Online Store,,Canada,Ontario,Waterford,Canada,Ontario,Waterford,,,,,,0,0,0,0,0,5.99,0.78,6.77
4.28697E+12,1.37196E+13,2022-01-16T11:17:39-05:00,#1946,product,order,Online Store,,Canada,Ontario,Waterford,Canada,Ontario,Waterford,,DOGORA,Medical Snuggie,M2,,1,37.19,0,0,37.19,0,4.83,42.02
4.28735E+12,1.37208E+13,2022-01-16T17:02:22-05:00,#1947,product,order,Online Store,,United States,Connecticut,Branford,United States,Connecticut,Branford,,DOGORA,Hoodie,XL,,1,74.99,0,0,74.99,0,0,74.99
4.28735E+12,1.37208E+13,2022-01-16T17:02:22-05:00,#1947,shipping,order,Online Store,,United States,Connecticut,Branford,United States,Connecticut,Branford,,,,,,0,0,0,0,0,19.99,0,19.99
4.2882E+12,1.37233E+13,2022-01-17T11:25:28-05:00,#1948,product,order,Online Store,,Canada,Ontario,Toronto,Canada,Ontario,Toronto,Clothing,DOGORA,3 Season Heated Coat,L,,1,214.99,-32.24,0,182.75,0,23.76,206.51
4.28865E+12,1.37247E+13,2022-01-17T18:16:26-05:00,#1949,product,order,Online Store,,Canada,Ontario,London,Canada,Ontario,London,,DOGORA,Hoodie,M2,,1,64.99,0,0,64.99,0,8.45,73.44
4.24226E+12,1.3727E+13,2022-01-18T10:58:39-05:00,#1907,product,return,Online Store,,Canada,British Columbia,Squamish,Canada,British Columbia,Squamish,,DOGORA,Trench Coat,L,,-1,0,0,-76.49,-76.49,0,-3.82,-80.31
4.28996E+12,1.37285E+13,2022-01-18T15:27:51-05:00,#1950,shipping,order,Online Store,,Canada,Ontario,Severn Bridge,Canada,Ontario,Severn Bridge,,,,,,0,0,0,0,0,5.99,0.78,6.77
4.28996E+12,1.37285E+13,2022-01-18T15:27:51-05:00,#1950,product,order,Online Store,,Canada,Ontario,Severn Bridge,Canada,Ontario,Severn Bridge,,DOGORA,Medical Snuggie,M2,,1,37.19,0,0,37.19,0,4.83,42.02
